title,not discounted price,discount,price,developer,extraction date
Felix The Reaper,10€,-90%,1.00€,Kong Orange,2022-11-22 22:55:45.449322
Stygian: Reign of the Old Ones,20€,-90%,1.96€,Cultic Games,2022-11-22 22:55:49.291257
Industry Empire,10€,-90%,1.00€,Actalogic,2022-11-22 22:55:50.915352
Kill to Collect,10€,-90%,1.00€,Pieces Interactive,2022-11-22 22:55:52.789102
Contra: Rogue Corps,40€,-90%,3.99€,Konami Digital Entertainment,2022-11-22 22:55:53.965913
Think of the Children,10€,-90%,1.00€,Jammed Up Studios,2022-11-22 22:55:55.091166
Stellaris Galaxy Edition,40€,-90%,3.92€,Paradox Development Studio,2022-11-22 22:55:56.302770
Steel Rats,10€,-90%,1.00€,Tate Multimedia,2022-11-22 22:55:57.952212
Gothic 3,10€,-90%,1.00€,Piranha Bytes,2022-11-22 22:56:00.076006
Escape Goat 2,10€,-90%,1.00€,MagicalTimeBean,2022-11-22 22:56:01.177907
Naruto: Ultimate Ninja Storm Revolution,30€,-90%,3.09€,CyberConnect2 Co. Ltd.,2022-11-22 22:56:02.559821
Else Heart Break(),23€,-90%,2.33€,"Erik SvedängEl Huervo / Niklas ÅkerbladTobias SjögrenOscar ""Ratvader"" RydeliusJohannes Gotlén",2022-11-22 22:56:03.749070
Age of Wonders: Planetfall Premium Edition,50€,-90%,4.99€,Triumph Studios,2022-11-22 22:56:05.319388
Truberbrook / Trüberbrook,30€,-90%,2.90€,btf,2022-11-22 22:56:07.947864
X-Blades,10€,-90%,1.01€,Gaijin Entertainment,2022-11-22 22:56:11.236391
Vertiginous Golf,10€,-90%,1.00€,Kinelco & Lone Elk Creative,2022-11-22 22:56:13.447440
Trapped Dead Lockdown,10€,-90%,1.00€,Bigmoon Studios,2022-11-22 22:56:15.415917
MX vs ATV Supercross,20€,-90%,1.90€,Rainbow StudiosTHQ Nordic,2022-11-22 22:56:17.656897
River City Super Sports Challenge ~All Stars Special~,20€,-90%,2.00€,Arc System Works,2022-11-22 22:56:19.057682
Bear With Me - Collector's Edition,10€,-90%,1.00€,Exordium Games,2022-11-22 22:56:20.453316
Parvaneh: Legacy of the Light's Guardians,10€,-90%,1.00€,Bearded Bird Game Studio,2022-11-22 22:56:22.091730
BattleTech Season Pass,50€,-90%,4.99€,,2022-11-22 22:56:23.206258
